Date,Views
2020-04-05,0
2020-04-06,5
2020-04-07,43
2020-04-08,60
2020-04-09,53
2020-04-10,74
2020-04-11,26
2020-04-12,45
2020-04-13,86
2020-04-14,102
2020-04-15,159
2020-04-16,127
2020-04-17,145
2020-04-18,81
2020-04-19,45
2020-04-20,139
2020-04-21,75
2020-04-22,55
2020-04-23,57
2020-04-24,73
2020-04-25,56
2020-04-26,26
2020-04-27,77
2020-04-28,72
2020-04-29,59
2020-04-30,63
2020-05-01,91
2020-05-02,59
2020-05-03,38
2020-05-04,100
2020-05-05,165
2020-05-06,171
2020-05-07,141
2020-05-08,105
2020-05-09,74
2020-05-10,54
2020-05-11,206
2020-05-12,133
2020-05-13,145
2020-05-14,88
2020-05-15,91
2020-05-16,41
2020-05-17,66
2020-05-18,73
2020-05-19,125
2020-05-20,160
2020-05-21,92
2020-05-22,81
2020-05-23,36
2020-05-24,38
2020-05-25,39
2020-05-26,75
2020-05-27,94
2020-05-28,66
2020-05-29,62
2020-05-30,13
2020-05-31,52
2020-06-01,72
2020-06-02,61
2020-06-03,91
2020-06-04,67
2020-06-05,75
2020-06-06,89
2020-06-07,50
2020-06-08,83
2020-06-09,91
2020-06-10,85
2020-06-11,88
2020-06-12,59
2020-06-13,37
2020-06-14,42
2020-06-15,44
2020-06-16,97
2020-06-17,55
2020-06-18,65
2020-06-19,75
2020-06-20,21
2020-06-21,71
2020-06-22,77
2020-06-23,69
2020-06-24,99
2020-06-25,83
2020-06-26,95
2020-06-27,70
2020-06-28,70
2020-06-29,80
2020-06-30,68
2020-07-01,91
2020-07-02,84
2020-07-03,57
2020-07-04,35
2020-07-05,48
2020-07-06,50
2020-07-07,38
2020-07-08,43
2020-07-09,42
2020-07-10,65
2020-07-11,33
2020-07-12,68
2020-07-13,128
2020-07-14,107
2020-07-15,61
2020-07-16,41
2020-07-17,33
2020-07-18,15
2020-07-19,29
2020-07-20,38
2020-07-21,28
2020-07-22,52
2020-07-23,46
2020-07-24,39
2020-07-25,40
2020-07-26,54
2020-07-27,62
2020-07-28,43
2020-07-29,63
2020-07-30,58
2020-07-31,17
2020-08-01,18
2020-08-02,21
2020-08-03,66
2020-08-04,82
2020-08-05,58
2020-08-06,22
2020-08-07,23
2020-08-08,20
2020-08-09,24
2020-08-10,56
2020-08-11,43
2020-08-12,41
2020-08-13,14
2020-08-14,14
2020-08-15,27
2020-08-16,18
2020-08-17,31
2020-08-18,34
2020-08-19,21
2020-08-20,58
2020-08-21,24
2020-08-22,3
2020-08-23,11
2020-08-24,18
2020-08-25,16
