Date,Watch time (hours)
2020-04-05,0
2020-04-06,0.2706
2020-04-07,1.9006
2020-04-08,2.6813
2020-04-09,6.1334
2020-04-10,9.3857
2020-04-11,4.1149
2020-04-12,6.6804
2020-04-13,7.5181
2020-04-14,12.2651
2020-04-15,19.9763
2020-04-16,12.3706
2020-04-17,18.0709
2020-04-18,4.5741
2020-04-19,6.4703
2020-04-20,22.5194
2020-04-21,13.0703
2020-04-22,7.8949
2020-04-23,7.8661
2020-04-24,9.235
2020-04-25,4.2777
2020-04-26,2.1946
2020-04-27,8.6602
2020-04-28,8.1188
2020-04-29,6.5936
2020-04-30,8.626
2020-05-01,7.0767
2020-05-02,7.7761
2020-05-03,2.5071
2020-05-04,13.2377
2020-05-05,14.0706
2020-05-06,12.3052
2020-05-07,13.0847
2020-05-08,12.3306
2020-05-09,4.4554
2020-05-10,6.3507
2020-05-11,15.9421
2020-05-12,17.3257
2020-05-13,16.8409
2020-05-14,10.7964
2020-05-15,8.7545
2020-05-16,6.5197
2020-05-17,7.3039
2020-05-18,13.8253
2020-05-19,16.2863
2020-05-20,19.4427
2020-05-21,10.3723
2020-05-22,10.7249
2020-05-23,6.6997
2020-05-24,6.7324
2020-05-25,5.2251
2020-05-26,6.5273
2020-05-27,8.199
2020-05-28,5.6716
2020-05-29,6.7398
2020-05-30,0.3535
2020-05-31,8.7676
2020-06-01,6.9441
2020-06-02,7.3383
2020-06-03,11.3284
2020-06-04,10.7674
2020-06-05,7.0974
2020-06-06,5.021
2020-06-07,4.5792
2020-06-08,6.8915
2020-06-09,13.5229
2020-06-10,6.563
2020-06-11,9.7612
2020-06-12,5.4588
2020-06-13,4.9708
2020-06-14,3.9817
2020-06-15,5.73
2020-06-16,7.2559
2020-06-17,7.6917
2020-06-18,5.7954
2020-06-19,11.646
2020-06-20,4.0514
2020-06-21,9.668
2020-06-22,16.2288
2020-06-23,9.6197
2020-06-24,10.9735
2020-06-25,11.6218
2020-06-26,13.0261
2020-06-27,8.7382
2020-06-28,9.2358
2020-06-29,14.1991
2020-06-30,11.015
2020-07-01,11.1281
2020-07-02,11.4137
2020-07-03,5.726
2020-07-04,5.1457
2020-07-05,4.7461
2020-07-06,3.4126
2020-07-07,3.062
2020-07-08,5.4435
2020-07-09,2.4505
2020-07-10,9.3236
2020-07-11,2.4481
2020-07-12,4.9606
2020-07-13,13.2362
2020-07-14,8.2817
2020-07-15,7.9024
2020-07-16,6.1142
2020-07-17,4.0235
2020-07-18,1.7471
2020-07-19,1.9502
2020-07-20,3.298
2020-07-21,1.4177
2020-07-22,5.8907
2020-07-23,5.0897
2020-07-24,6.7976
2020-07-25,3.3927
2020-07-26,6.6444
2020-07-27,7.1339
2020-07-28,3.6916
2020-07-29,9.9149
2020-07-30,3.3616
2020-07-31,2.04
2020-08-01,3.5674
2020-08-02,0.8181
2020-08-03,5.8151
2020-08-04,6.7541
2020-08-05,6.2005
2020-08-06,2.7173
2020-08-07,2.0029
2020-08-08,1.7632
2020-08-09,2.8738
2020-08-10,3.4828
2020-08-11,4.03
2020-08-12,3.0318
2020-08-13,2.2988
2020-08-14,0.453
2020-08-15,1.9753
2020-08-16,2.6677
2020-08-17,1.5457
2020-08-18,5.0504
2020-08-19,1.3096
2020-08-20,5.9429
2020-08-21,1.4757
2020-08-22,0.0628
2020-08-23,0.499
2020-08-24,2.191
2020-08-25,1.6694
2020-08-26,1.9286
2020-08-27,2.6533
2020-08-28,3.6925
2020-08-29,0.7142
2020-08-30,0.5041
2020-08-31,1.733
2020-09-01,2.1307
2020-09-02,3.0714
2020-09-03,3.5532
2020-09-04,4.2848
2020-09-05,0.8984
2020-09-06,1.5585
2020-09-07,3.8994
2020-09-08,3.9213
2020-09-09,3.7134
2020-09-10,3.6671
2020-09-11,5.3657
2020-09-12,1.76
2020-09-13,4.2983
2020-09-14,8.9521
2020-09-15,1.9256
2020-09-16,2.4324
2020-09-17,5.1183
2020-09-18,3.1738
2020-09-19,0.883
2020-09-20,2.1918
2020-09-21,0.6195
2020-09-22,3.417
2020-09-23,8.6187
2020-09-24,8.6711
2020-09-25,5.4847
2020-09-26,1.5321
2020-09-27,1.7493
2020-09-28,1.5596
2020-09-29,2.9045
2020-09-30,1.3086
2020-10-01,1.8856
2020-10-02,1.4468
2020-10-03,0.7609
2020-10-04,1.2249
2020-10-05,3.2206
2020-10-06,4.4978
2020-10-07,1.3837
2020-10-08,2.3939
2020-10-09,1.2054
2020-10-10,3.0389
2020-10-11,4.628
2020-10-12,3.4744
2020-10-13,10.1106
2020-10-14,2.0364
2020-10-15,4.236
2020-10-16,5.1005
2020-10-17,5.9184
2020-10-18,3.5317
2020-10-19,1.8843
2020-10-20,7.4497
2020-10-21,4.3112
2020-10-22,4.6014
2020-10-23,6.5883
2020-10-24,3.8188
2020-10-25,5.089
2020-10-26,6.2702
2020-10-27,4.5955
2020-10-28,6.5578
2020-10-29,3.0889
2020-10-30,4.536
2020-10-31,1
2020-11-01,2.4002
2020-11-02,4.7993
2020-11-03,5.9233
2020-11-04,7.276
2020-11-05,3.2631
2020-11-06,4.1144
2020-11-07,0.3748
2020-11-08,3.2609
2020-11-09,2.9201
2020-11-10,2.1848
2020-11-11,2.0408
2020-11-12,3.3121
2020-11-13,2.3997
2020-11-14,1.0461
2020-11-15,1.2721
2020-11-16,1.3294
2020-11-17,1.7987
2020-11-18,3.4567
2020-11-19,1.992
2020-11-20,2.0407
2020-11-21,1.0326
2020-11-22,1.3103
2020-11-23,5.5448
2020-11-24,2.9533
2020-11-25,2.2373
2020-11-26,1.8454
2020-11-27,0.8315
2020-11-28,1.6963
2020-11-29,1.2939
2020-11-30,4.925
2020-12-01,1.0792
2020-12-02,8.1605
2020-12-03,6.1289
2020-12-04,3.2445
2020-12-05,1.2678
2020-12-06,0.9697
2020-12-07,0.7377
2020-12-08,4.8272
2020-12-09,6.071
2020-12-10,4.5874
2020-12-11,2.4154
2020-12-12,1.3488
2020-12-13,1.7115
2020-12-14,4.3752
2020-12-15,2.4819
2020-12-16,2.6292
2020-12-17,3.5694
2020-12-18,0.4894
2020-12-19,0.5467
2020-12-20,1.5288
2020-12-21,2.4811
2020-12-22,3.2164
2020-12-23,1.9673
2020-12-24,0.2128
2020-12-25,0.0454
2020-12-26,0.5181
2020-12-27,0.6344
2020-12-28,2.59
2020-12-29,6.5212
2020-12-30,3.5545
2020-12-31,5.5049
2021-01-01,1.0487
2021-01-02,2.4202
2021-01-03,2.6572
2021-01-04,9.8414
2021-01-05,3.2097
2021-01-06,2.6226
2021-01-07,5.46
2021-01-08,4.1741
2021-01-09,1.5148
2021-01-10,1.6316
2021-01-11,7.1669
2021-01-12,6.097
2021-01-13,3.037
2021-01-14,1.4408
2021-01-15,2.8085
2021-01-16,0.5015
2021-01-17,2.6617
2021-01-18,1.6968
2021-01-19,5.5401
2021-01-20,1.7924
2021-01-21,2.1443
2021-01-22,0.9281
2021-01-23,1.2818
2021-01-24,1.0081
2021-01-25,3.6064
2021-01-26,4.2066
2021-01-27,3.6979
2021-01-28,3.875
2021-01-29,3.5034
2021-01-30,2.22
2021-01-31,2.2882
2021-02-01,7.187
2021-02-02,9.3532
2021-02-03,4.083
2021-02-04,5.5293
2021-02-05,2.0898
2021-02-06,1.2773
2021-02-07,1.6772
2021-02-08,4.6316
2021-02-09,5.819
2021-02-10,7.5421
2021-02-11,3.4943
2021-02-12,2.3307
2021-02-13,0.3288
2021-02-14,2.009
2021-02-15,4.9749
2021-02-16,6.2901
2021-02-17,4.2643
2021-02-18,2.6708
2021-02-19,5.2746
2021-02-20,1.6929
2021-02-21,1.9968
2021-02-22,2.5364
2021-02-23,3.427
2021-02-24,2.4672
2021-02-25,0.8567
2021-02-26,4.7401
2021-02-27,2.0194
2021-02-28,5.4651
2021-03-01,5.5196
2021-03-02,2.1939
2021-03-03,0.6789
2021-03-04,4.2816
2021-03-05,5.275
2021-03-06,3.7259
2021-03-07,4.0913
2021-03-08,5.7535
2021-03-09,2.9373
2021-03-10,2.3795
2021-03-11,5.9521
2021-03-12,2.1565
2021-03-13,2.6985
2021-03-14,1.4046
2021-03-15,3.5101
2021-03-16,5.0828
2021-03-17,5.7208
2021-03-18,1.4971
2021-03-19,3.5002
2021-03-20,2.7544
2021-03-21,2.6081
2021-03-22,3.1436
2021-03-23,2.8492
2021-03-24,3.256
2021-03-25,4.619
2021-03-26,2.288
2021-03-27,3.015
2021-03-28,1.9059
2021-03-29,5.1013
2021-03-30,5.6944
2021-03-31,0.8589
2021-04-01,6.0709
2021-04-02,3.6639
2021-04-03,1.5718
2021-04-04,1.6432
2021-04-05,3.3127
2021-04-06,7.1245
2021-04-07,3.2915
2021-04-08,3.4316
2021-04-09,3.9086
2021-04-10,2.2123
2021-04-11,3.0188
2021-04-12,2.403
2021-04-13,6.1176
2021-04-14,1.6314
2021-04-15,2.3344
2021-04-16,2.5962
2021-04-17,0.9219
2021-04-18,1.0217
2021-04-19,5.2411
2021-04-20,4.5558
2021-04-21,3.055
